company;class;symbol;economatica_classification;ev_over_ebitda;net_equity;total_assets;total_liabilities;close_price;stock_volume
CCR SA;ON;CCRO3;transport_and_services;11,6;7.999.700;35.322.357;35.322.357;11,44;2.020.000
Cea Modas;ON;CEAB3;retail;68,4;2.549.303;6.778.016;6.778.016;11,52;308.245
Ceb;ON;CEBR3;electrical_energy;-;848.831;3.680.390;3.680.390;130,08;14.416
Cedro;PN;CEDO4;textile;221,9;126.789;670.873;670.873;5,17;10.000
Ceee-D;ON;CEED3;electrical_energy;-2,9;-5.305.957;3.865.319;3.865.319;49;9.681
Ceee-Gt;ON;EEEL3;electrical_energy;9;2.689.404;5.661.053;5.661.053;-;9.661
Ceg;ON;CEGR3;oil_and_gas;62,1;1.180.521;3.495.128;3.495.128;116;247.432
Celesc;PN;CLSC4;electrical_energy;4,4;1.692.167;10.420.055;10.420.055;50,49;38.571
Celgpar;ON;GPAR3;electrical_energy;-;1.138.811;1.532.986;1.532.986;-;77.928
Celpe;PNA;CEPE5;electrical_energy;8,1;1.702.000;11.423.000;11.423.000;26,16;74.612
Cemepe;PN;MAPT4;other;-;-5.727;773;773;-;919
Cemig;PN;CMIG4;electrical_energy;7,5;17.297.668;53.326.157;53.326.157;11,97;1.518.168
Centauro;ON;CNTO3;retail;-;1.920.947;5.148.820;5.148.820;23,21;241.809
Cesp;PNB;CESP6;electrical_energy;8,6;7.206.213;14.551.864;14.551.864;27,15;327.390
Cia Hering;ON;HGTX3;textile;22,3;1.616.315;2.243.732;2.243.732;15,69;158.677
Cielo;ON;CIEL3;software_and_data;6,4;9.490.854;87.324.870;87.324.870;3,63;2.707.154
Cims;ON;CMSA3;other;-;56;57;57;-;41.378
Cinesystem;ON;CNSY3;other;-;6.926;179.436;179.436;-;30.969
Coelba;ON;CEEB3;electrical_energy;7,5;6.109.000;20.921.000;20.921.000;40,4;262.096
Coelce;PNA;COCE5;electrical_energy;8,8;3.230.548;9.366.384;9.366.384;52,05;77.855
Cogna ON;ON;COGN3;other;-51;17.191.170;36.080.847;36.080.847;3,83;1.868.968
Comgas;PNA;CGAS5;oil_and_gas;11,1;590.052;10.616.884;10.616.884;150,49;132.521
Conc Rio Ter;ON;CRTE3B;transport_and_services;-;136.490;182.660;182.660;-;86
Const A Lind;PN;CALI4;real_state;-;3.302;124.698;124.698;-;372
Copasa;ON;CSMG3;other;5,7;7.145.688;12.036.293;12.036.293;14,95;379.182
Copel;PNB;CPLE6;electrical_energy;5,9;20.057.389;45.029.675;45.029.675;59,55;273.655
Cor Ribeiro;PN;CORR4;other;-;5.563;22.518;22.518;-;23
Cosan;ON;CSAN3;oil_and_gas;14,4;10.847.665;35.760.824;35.760.824;84,51;382.461
Cosan Log;ON;RLOG3;transport_and_services;11,6;2.507.239;46.607.632;46.607.632;20,72;463.224
Cosern;PNB;CSRN6;electrical_energy;7,1;1.329.000;4.617.000;4.617.000;-;168.074
Coteminas;PN;CTNM4;textile;252,9;835.297;4.222.809;4.222.809;5,69;30.636
CPFL Energia;ON;CPFE3;electrical_energy;9,5;14.534.698;50.674.056;50.674.056;29,46;1.152.254
Cr2;ON;CRDE3;real_state;-11,9;120.364;133.136;133.136;21,5;2.422
Cristal;PNA;CRPG5;chemistry;-;674.424;928.752;928.752;48,05;29.019
Cruzeiro Edu;ON;CSED3;other;27,4;408.425;3.692.593;3.692.593;13,19;381.822
